id,category,brandName,name,price,rating
0,Appliances_Washers_Top Load Washers,Kenmore,Kenmore 20232 3.5 cu. ft. Top-Load Washer w/Porcelain Basket - White,$599.99,3.0
1,Appliances_Washers_Top Load Washers,GE Appliances,GE Appliances GTW335ASNWW 4.2 cu. ft. Washer with Stainless Steel Basket - White,$514.00,4.5
2,Appliances_Dryers_Electric Dryers,Kenmore,Kenmore 60222 6.5 cu. ft. Electric Dryer - White,$599.99,3.5
3,Appliances_Washers_Top Load Washers,Kenmore,Kenmore 20362 3.8 cu. ft. Top-Load Washer w/Stainless Steel Basket - White,$699.99,2.5
4,Appliances_Dryers_Electric Dryers,GE Appliances,GE Appliances GTD33EASKWW 7.2 cu. ft. Electric Dryer - White,$514.00,4.5
5,Appliances_Washers_Top Load Washers,GE Appliances,GE Appliances GTW465ASNWW 4.5 cu. ft. Washer with Stainless Steel Basket - White,$549.99,4.5
6,Appliances_Washers_Front Load Washers,GE Appliances,GE Appliances GFW550SPRRS 4.8 cu. ft. Smart Front Load ENERGY STAR Washer with UltraFresh Vent System with OdorBlock and Sanitize with Oxi - Sapphire Blue,$888.99,4.5
7,Appliances_Dryers_Electric Dryers,Kenmore,Kenmore 62332 7.0 cu. ft. Electric Dryer w/ Wrinkle Guard - White,$699.99,3.5
8,Appliances_Dryers_Gas Dryers,Kenmore,Kenmore 70222  6.5 cu. ft. Gas Dryer - White,$719.99,3.5
9,Appliances_Washers_Top Load Washers,GE Appliances,GE Appliances GTW500ASNWS 4.6 cu. ft. Washer with Stainless Steel Basket - White,$549.99,4.0
10,Appliances_Dryers_Gas Dryers,Kenmore,Kenmore 72332  7.0 cu. ft. Gas Dryer - White,$819.99,4.0
11,Appliances_Dryers_Electric Dryers,GE Appliances,GE Appliances GFD55ESPRRS 7.8 cu. ft. Capacity Smart Front Load Electric Dryer with Sanitize Cycle - Sapphire Blue,$888.99,5.0
12,Appliances_Washers_Top Load Washers,GE Appliances,GE Appliances PTW605BSRWS 4.9 cu. ft. Capacity Washer with Smarter Wash Technology and FlexDispense&#8482; - White,$679.99,4.5
13,Appliances_Specialty Laundry_Laundry Centers,Frigidaire,"Frigidaire FLCE7522AW  Electric Stacked 3.9 cu. ft. Washer & 5.6 cu. ft. Dryer 27""w &#8211; White",$1299.99,3.5
14,Appliances_Washers_Front Load Washers,GE Appliances,GE Appliances GFW550SSNWW 4.8cu.ft. Front Loading Washer &#8211; White,$779.99,4.5
15,Appliances_Washers_Top Load Washers,Samsung,Samsung WA40A3005AW/A4 4.0 cu. ft. Capacity White Top Load Washer Agitator,$629.99,4.5
16,Appliances_Washers_Front Load Washers,LG,LG WM3470CW  5.0 cu. ft. Mega Capacity Closet Depth Front Load Washer &#8211; White,$799.99,5.0
17,Appliances_Dryers_Electric Dryers,Samsung,Samsung DVE41A3000W/A3 7.2-cu ft White Sensor Dry Electric Dryer,$629.99,5.0
18,Appliances_Dryers_Electric Dryers,LG,LG DLE7000W   7.3 cu. ft. Large Capacity Electric Dryer with Sensor Dry - White,$599.99,4.5
19,Appliances_Washers_Top Load Washers,LG,LG WT7400CW  5.5 cu. ft. Mega Capacity Top Load Washer with TurboWash3D&#8482; &#8211; White,$799.96,4.5
